dest_ip,protocol,port,size,priority
117.3.140.34,17,2098,1148,5
103.154.231.122,17,53,434,9
15.235.98.76,17,29019,402,5
148.113.130.128,17,25731,842,5
142.44.233.169,6,80,356,8
122.160.138.119,17,53,389,9
116.169.58.224,17,53,686,9
200.105.141.172,17,54765,1304,5
113.11.34.221,6,443,176,8
217.165.152.105,17,53,458,9
185.91.69.132,6,80,578,8
103.183.74.205,17,53,279,9
103.176.79.137,6,443,674,8
114.30.223.119,17,53,162,9
142.44.228.252,17,26966,409,5
144.79.187.22,17,49927,1128,5
198.244.226.99,17,41399,410,5
220.165.85.39,17,40612,585,5
103.164.246.226,6,45600,1395,5
203.2.112.125,17,53,938,9
140.249.247.162,17,53,241,9
20.91.227.129,6,443,623,8
185.255.215.7,6,64922,1170,5
142.44.228.79,6,443,545,8
191.53.132.127,6,443,1179,8
216.24.210.170,6,80,1250,8
151.80.141.196,6,80,925,8
101.32.251.22,6,43321,480,5
125.25.126.251,17,40507,571,5
185.93.89.48,6,80,1443,8
173.214.173.210,6,80,120,8
151.245.32.92,6,443,260,8
125.17.185.94,17,53,76,9
142.44.228.168,6,80,267,8
172.236.30.139,17,53,213,9
116.140.52.202,6,80,872,8
114.207.246.197,6,443,660,8
181.49.117.132,6,443,427,8
115.190.230.253,6,80,157,8
178.104.84.191,6,80,1188,8
175.156.158.87,17,53,135,9
220.246.194.124,6,80,776,8
15.235.96.20,6,63190,565,5
103.59.94.117,6,443,998,8
194.165.16.167,17,27163,1242,5
2.57.122.89,6,80,75,8
120.133.60.156,6,443,1372,8
181.192.106.243,6,25679,765,5
111.70.32.53,6,12438,666,5
201.249.205.94,17,17878,511,5
157.55.39.202,17,53,212,9
178.175.129.39,17,53,1073,9
211.72.129.211,17,53,300,9
14.194.173.98,6,443,1346,8
110.41.44.207,6,46240,1195,5
103.76.120.225,17,53,1052,9
142.44.233.90,6,443,445,8
156.227.232.96,6,4512,159,5
111.70.41.88,6,443,1128,8
144.79.187.28,6,36761,477,5
116.110.10.47,17,38241,1377,5
181.56.174.63,6,80,483,8
151.33.114.143,6,80,1428,8
192.81.229.179,6,80,1293,8
178.219.98.26,6,80,1493,8
128.185.201.170,6,443,348,8
180.106.80.16,17,53,987,9
177.44.71.77,17,53,366,9
